col0,col1,col2,col3,col4
0.000185867921,-6.559002730428545e-05,7.6046055309043326e-06,5.2532645395788886e-05,5.598561111072139e-05
0.00035689983086428117,0.00029317483419760677,0.0003218228757746507,0.0003130037782289562,0.0003236200542415627
0.0006439735264547649,0.00048064889528902675,0.0004964403120579048,0.0005477707455057,0.0005644292129320795
0.0008792461845110978,0.0006926941354454141,0.0006785661442047606,0.0008054982859450678,0.0008315026980809936
0.001098492849583746,0.0009486663577879409,0.0008975441666662264,0.0011231836454336302,0.0011639949881670408
0.0013483222653782611,0.0012568609502645583,0.0011698085918949218,0.0015325233532572744,0.0015661579385666572
0.0016340779001807202,0.0016214592522031217,0.001504385484647121,0.002050335939366754,0.0019932395675479734
0.0019449394388127363,0.0020453460627761965,0.001905142931567655,0.0026598711714165397,0.0024128800353555697
0.0022753100927701306,0.0025285056251308584,0.0023721290644407736,0.0033252956201068984,0.0028274051673699203
0.0026224147567013795,0.003067599806132963,0.0029025596052500535,0.004027540945695902,0.0032312775285739206
0.002984132066132806,0.0036591353214136457,0.0034918022394955584,0.004766556737054644,0.0036421190723518442
0.003358457295053039,0.004301103037951337,0.004136778924968476,0.0055369134357679105,0.004068105953144703
0.0037441293317275366,0.004993796348637561,0.004841700634466087,0.006338845694523219,0.004503561951218508
0.004139970173556544,0.005744137519379555,0.0056281987143916865,0.007183472856590823,0.004947666728689106
0.004546630788913666,0.0065761945123559255,0.006551736087064579,0.008058235094717571,0.005399564587903555
0.004966503806447709,0.007541026801109008,0.0077118963608159025,0.008949983884598429,0.00585655672387376
0.0054014881167278785,0.008694988676035992,0.009221411845893202,0.009854800389803017,0.006319304784404299
0.00585219594586719,0.010039119203641204,0.01111454552990371,0.010777395639439517,0.006791135505368635
0.006318242312581039,0.011510153903837948,0.013290745888409587,0.0117248469870844,0.00727718158742852
0.006798260014239864,0.0130195293720133,0.015579991792463284,0.012702325259097997,0.007781166221362396
0.007292400356925386,0.014483929719398471,0.01782349921380092,0.013712075165272676,0.008304689582862672
0.007802837127932974,0.015849782904752446,0.01993801870571698,0.014751771958527013,0.008848044428233243
0.008330939735745764,0.01712053631436809,0.02192906683752726,0.0158211212416946,0.009411958549072497
0.00887624348261516,0.01832688990257367,0.023833299256947795,0.01692612802331039,0.01000072476663054
0.009437806837387175,0.01949221278533682,0.025680741030223667,0.018085641142754974,0.010627635822791779
0.010015563562209643,0.020631882679697674,0.027490389998124833,0.019336212089475915,0.011324285951418161
0.010614484413656403,0.021755570907760525,0.0292791717202239,0.020735578762767378,0.01214540086043256
0.011251304915547919,0.022871399732512926,0.031062112648301266,0.02233366447594474,0.0131458781982531
0.011965590796430746,0.023992210356673215,0.03285775491854153,0.024116233059702306,0.014328779361119356
0.012822514298124461,0.025145452243023475,0.03468870983984559,0.026008740457251885,0.01562940686858822
0.013875509542981473,0.026382865015108083,0.03656283313425362,0.027930196330220945,0.016959338173251876
0.015105841950316983,0.02777049888967797,0.038423733398682804,0.029832366916282903,0.018245401031543602
0.016427362469792744,0.029336328258070966,0.04017993312067989,0.03169977783967449,0.01946208905310542
0.017742556154636928,0.03103116614489328,0.04180350792818201,0.03350453714940162,0.020623097126535518
0.01898933832614694,0.03276740950413333,0.043316432528778585,0.03522161002398567,0.021748590353535383
0.020161751352554207,0.03446518975935889,0.04474418779849675,0.03686027377188194,0.02285186673886221
0.021281094524674603,0.03608441706550498,0.04610443920862708,0.038442093452603826,0.023940257627691263
0.02236839944808032,0.03763132092582408,0.04740887420067944,0.03998476808937317,0.025020281684771488
0.023437613674994945,0.03912470411355816,0.048665610472876646,0.04150145867807084,0.026103643878981484
0.024497236223833468,0.04057942212013682,0.049880576983639645,0.04300419585392556,0.02721446302088398
0.025553922440427205,0.04200540619842622,0.05105849539916497,0.04450569439869071,0.028397273711898482
0.026618202177230058,0.043411068434539415,0.05220302173203775,0.0460060653438873,0.029713545691260834
0.027713924446644184,0.04480622089411872,0.053317205743182605,0.04747039221299403,0.03120142276517702
0.028888983778505056,0.04620369132966604,0.05440371469626247,0.048860733464898394,0.03282766322350053
0.030209559788045525,0.04761634697113189,0.05546462988322231,0.05017480309815795,0.03450805806244954
0.031711651919030595,0.049039372624521495,0.056501948801633436,0.051426292356032,0.036158610768842206
0.033353997514313824,0.050430652380957494,0.05751725867544561,0.05262745636485002,0.037736480293247436
0.03504957007835977,0.05174915952409736,0.05851212280533971,0.05378668990064717,0.03924324858685216
0.03671536866890338,0.052994392146345444,0.05948775893415111,0.05490995269432297,0.04069755124064063
0.03830771924863263,0.05418115368473843,0.06044536094314734,0.056001357074504265,0.04211642223057618
